CPID,LocalMagnitude,NeuralMagnitude,TotalRAC,Synced Til,Address,CPID_Valid,Witnesses
002d383a19b63d698a3201793e7e3750,110,110,11500,5/9/2016 6:00:00 AM,SHSupfcyUzEyacTGkTgkNY68fK3W5PdLhK,True,1,
00565aba8b273e72f5292dd54c2e9d9c,225,225,28000,5/9/2016 6:00:00 AM,S9puW93f6EuXDCC3JA8nSQSo42A5gbs9Td,True,1,
009b415d69801a2f9182069b9257f410,215,215,1522857.14,5/9/2016 6:00:00 AM,SKZ5seaKEuTuNL3Vw7gZYf1QsK3wsy4hjA,True,1,
00ade2f6083246697902ea440f617bb3,1.25,1.25,490,5/9/2016 6:00:00 AM,Rya7ycFthjvwd1mTFveULMDi6TSC4B1yWw,True,1,
00bcd811d3f0ba9970189c7ffcb1f727,12.5,12.5,3480,5/9/2016 6:00:00 AM,S1X4rpUFj5MxMWruqz1pCPbCXb6crPTPwn,True,1,
00dfefdd49aa90e49496f65e589c8e2e,0,0,70,5/9/2016 6:00:00 AM,SAzr81z46QPUJxAvwsqkuzuonrmsw9rrAF,True,1,
00eaa6d498f8e269abc284c3c92ea77e,21.25,21.25,3640,5/9/2016 6:00:00 AM,SLFyjTRvba9n165HdqiAeWGrNTy14czM42,True,1,
00f1d6fee18ba19b62fd05807b5ed4ff,3.75,3.75,1360,5/9/2016 6:00:00 AM,RzdKKETuoXGmmywmWV4L3rinNfvH3aHcy4,True,1,
01021eddbbc53bcc089ee5c022df1b1e,0,0,30,5/9/2016 6:00:00 AM,S9LmsJ8FHWAfT1oeZojZsuJtLTLHcC2vKq,True,1,
011fa733333b557d88067d0b4520d0b6,0,0,0,5/9/2016 6:00:00 AM,RxhtYyCPgAn8zXSET4yFcjmryLBM2tXBCo,True,1,
0131d4e16753480607ef81cbed1cbd09,0,0,35,5/9/2016 6:00:00 AM,RxPVans4kURAWvuTd46uFJ9q6zhZW7Gk89,True,1,
0134f29bfd77fc4bd445e6dcc3ee18df,85,85,610000,5/9/2016 6:00:00 AM,SFRc7RrF9X3Kwby9zEt2s4eQ3t3vChWUqr,True,1,
014135e5cb2ebf8f283d1d1655151287,2.5,2.5,3440,5/9/2016 6:00:00 AM,SMCg71fGoZfy2Tovbyp2Za1KahrRmxAzKS,True,1,
015baf274dd9265b1c53d6aa064cface,3200,3200,624000,5/9/2016 6:00:00 AM,Rz3dq37BLCKx2ymW3xj5FuUbnxa4sM44jg,True,1,
01704be95003a8b621b961dc4572ffd6,2.5,2.5,790,5/9/2016 6:00:00 AM,S7tWBP9eMyKzvM8hbrwZhjgkHigFoGVWge,True,1,
0180d21299ca17267b6cf734c9d05884,2640,2640,15151630,5/9/2016 6:00:00 AM,S4TnwL8B96ZYunmfPtZFpEJLaQW2Bsad2g,True,1,
01935e7c861d6d770ca426ee472fe2bf,2.5,2.5,4680,5/9/2016 6:00:00 AM,SKzw3gLpk1tQ8Ry2enE1yokWUxRuooc9Xa,True,1,
01a499929b07373568b3eea3b3afe75e,230,230,129333.33,5/9/2016 6:00:00 AM,SEtHU341LGUhUDXf82kEXupqRoxj8yJUCC,True,1,
