CPID,LocalMagnitude,NeuralMagnitude,TotalRAC,Synced Til,Address,CPID_Valid,Witnesses
002d0748de1e924aa4987f271f921eb9,35,0,27333.33,12/31/2015 6:00:00 AM,S8KoMiAgaspTcyRR2niwik7HAQsbueghaN,True,1,
002d383a19b63d698a3201793e7e3750,145,0,16833.33,12/31/2015 6:00:00 AM,SHSupfcyUzEyacTGkTgkNY68fK3W5PdLhK,True,1,
00565aba8b273e72f5292dd54c2e9d9c,335,0,44000,12/31/2015 6:00:00 AM,S9puW93f6EuXDCC3JA8nSQSo42A5gbs9Td,True,1,
00bcd811d3f0ba9970189c7ffcb1f727,3.75,0,1600,12/31/2015 6:00:00 AM,S1X4rpUFj5MxMWruqz1pCPbCXb6crPTPwn,True,1,
00c310b6e475cffb71c6b41a45352dde,285,0,24491780,12/31/2015 6:00:00 AM,RxSz88ucP9EjQugtJDvpTmsKyZ8eB3vfJh,True,1,
011fa733333b557d88067d0b4520d0b6,0,0,0,12/31/2015 6:00:00 AM,RxhtYyCPgAn8zXSET4yFcjmryLBM2tXBCo,True,1,
0134f29bfd77fc4bd445e6dcc3ee18df,180,0,668000,12/31/2015 6:00:00 AM,SFRc7RrF9X3Kwby9zEt2s4eQ3t3vChWUqr,True,1,
015baf274dd9265b1c53d6aa064cface,450,0,138000,12/31/2015 6:00:00 AM,Rz3dq37BLCKx2ymW3xj5FuUbnxa4sM44jg,True,1,
0178973553c6ab2be12f51e556e9bc04,50,0,1040,12/31/2015 6:00:00 AM,SK5xufNU2PuQAGNdPSXcBPg5k4VKw1ReQD,True,1,
0180d21299ca17267b6cf734c9d05884,370,0,1344285.71,12/31/2015 6:00:00 AM,S4TnwL8B96ZYunmfPtZFpEJLaQW2Bsad2g,True,1,
01951256fc8cd6f033c1c3db825af1ac,0,0,0,12/31/2015 6:00:00 AM,RxttY6J1Ruxch5ELG4Soppp17TBZfqVUBq,True,1,
